"Treatment","Predicted probability to relapse within the next 2 years %","Baseline risk score"
"Dimethyl Fumarate",0.00702528194901307,0.01
"Dimethyl Fumarate",0.0146015526724835,0.02
"Dimethyl Fumarate",0.0224242367371968,0.03
"Dimethyl Fumarate",0.0304234929752012,0.04
"Dimethyl Fumarate",0.038565046167291,0.05
"Dimethyl Fumarate",0.0468281651246825,0.06
"Dimethyl Fumarate",0.0551988215361681,0.07
"Dimethyl Fumarate",0.0636668195858704,0.08
"Dimethyl Fumarate",0.0722243694739466,0.09
"Dimethyl Fumarate",0.0808652948692846,0.1
"Dimethyl Fumarate",0.0895845559644605,0.11
"Dimethyl Fumarate",0.098377944607958,0.12
"Dimethyl Fumarate",0.107241879985266,0.13
"Dimethyl Fumarate",0.116173266354931,0.14
"Dimethyl Fumarate",0.125169390819815,0.15
"Dimethyl Fumarate",0.134227847894622,0.16
"Dimethyl Fumarate",0.143346482573109,0.17
"Dimethyl Fumarate",0.152523346510001,0.18
"Dimethyl Fumarate",0.161756663715554,0.19
"Dimethyl Fumarate",0.171044803289438,0.2
"Dimethyl Fumarate",0.180386257456309,0.21
"Dimethyl Fumarate",0.189779623657243,0.22
"Dimethyl Fumarate",0.199223589787529,0.23
"Dimethyl Fumarate",0.208716921905995,0.24
"Dimethyl Fumarate",0.218258453907779,0.25
"Dimethyl Fumarate",0.227847078772839,0.26
"Dimethyl Fumarate",0.237481741090807,0.27
"Dimethyl Fumarate",0.247161430628311,0.28
"Dimethyl Fumarate",0.256885176754238,0.29
"Dimethyl Fumarate",0.266652043575942,0.3
"Dimethyl Fumarate",0.276461125668215,0.31
"Dimethyl Fumarate",0.286311544299238,0.32
"Dimethyl Fumarate",0.296202444075267,0.33
"Dimethyl Fumarate",0.306132989939614,0.34
"Dimethyl Fumarate",0.316102364472519,0.35
"Dimethyl Fumarate",0.326109765447276,0.36
"Dimethyl Fumarate",0.336154403605111,0.37
"Dimethyl Fumarate",0.346235500617034,0.38
"Dimethyl Fumarate",0.356352287205564,0.39
"Dimethyl Fumarate",0.366504001403063,0.4
"Dimethyl Fumarate",0.376689886926521,0.41
"Dimethyl Fumarate",0.386909191651235,0.42
"Dimethyl Fumarate",0.397161166167908,0.43
"Dimethyl Fumarate",0.407445062409448,0.44
"Dimethyl Fumarate",0.417760132335154,0.45
"Dimethyl Fumarate",0.428105626661108,0.46
"Dimethyl Fumarate",0.438480793626557,0.47
"Dimethyl Fumarate",0.448884877786728,0.48
"Dimethyl Fumarate",0.459317118823123,0.49
"Dimethyl Fumarate",0.469776750362691,0.5
"Dimethyl Fumarate",0.480262998797546,0.51
"Dimethyl Fumarate",0.490775082096988,0.52
"Dimethyl Fumarate",0.501312208603571,0.53
"Dimethyl Fumarate",0.511873575804815,0.54
"Dimethyl Fumarate",0.52245836907185,0.55
"Dimethyl Fumarate",0.533065760355867,0.56
"Dimethyl Fumarate",0.543694906832668,0.57
"Dimethyl Fumarate",0.554344949484837,0.58
"Dimethyl Fumarate",0.565015011610144,0.59
"Dimethyl Fumarate",0.575704197243616,0.6
"Dimethyl Fumarate",0.586411589479316,0.61
"Dimethyl Fumarate",0.597136248676185,0.62
"Dimethyl Fumarate",0.607877210530238,0.63
"Dimethyl Fumarate",0.618633483992969,0.64
"Dimethyl Fumarate",0.629404049012866,0.65
"Dimethyl Fumarate",0.640187854073376,0.66
"Dimethyl Fumarate",0.650983813496335,0.67
"Dimethyl Fumarate",0.661790804474725,0.68
"Dimethyl Fumarate",0.672607663792182,0.69
"Dimethyl Fumarate",0.683433184178995,0.7
"Dimethyl Fumarate",0.694266110244712,0.71
"Dimethyl Fumarate",0.705105133915675,0.72
"Dimethyl Fumarate",0.715948889291044,0.73
"Dimethyl Fumarate",0.726795946812413,0.74
"Dimethyl Fumarate",0.737644806618722,0.75
"Dimethyl Fumarate",0.748493890928403,0.76
"Dimethyl Fumarate",0.759341535252387,0.77
"Dimethyl Fumarate",0.770185978191872,0.78
"Dimethyl Fumarate",0.781025349509475,0.79
"Dimethyl Fumarate",0.791857656075799,0.8
"Dimethyl Fumarate",0.80268076517705,0.81
"Dimethyl Fumarate",0.813492384510844,0.82
"Dimethyl Fumarate",0.824290037978213,0.83
"Dimethyl Fumarate",0.835071036071944,0.84
"Dimethyl Fumarate",0.845832439220808,0.85
"Dimethyl Fumarate",0.85657101180606,0.86
"Dimethyl Fumarate",0.867283163606044,0.87
"Dimethyl Fumarate",0.877964873953325,0.88
"Dimethyl Fumarate",0.888611591568258,0.89
"Dimethyl Fumarate",0.899218099249532,0.9
"Dimethyl Fumarate",0.90977832619005,0.91
"Dimethyl Fumarate",0.920285079312563,0.92
"Dimethyl Fumarate",0.93072964371379,0.93
"Dimethyl Fumarate",0.941101159650633,0.94
"Dimethyl Fumarate",0.95138559068554,0.95
"Dimethyl Fumarate",0.961563872614094,0.96
"Dimethyl Fumarate",0.971608201028818,0.97
"Dimethyl Fumarate",0.98147321284267,0.98
"Dimethyl Fumarate",0.991067698280976,0.99
"Glatiramer Acetate",0.0258495745603771,0.01
"Glatiramer Acetate",0.0437543706691573,0.02
"Glatiramer Acetate",0.059392246677117,0.03
"Glatiramer Acetate",0.0736815073444054,0.04
"Glatiramer Acetate",0.0870272980656467,0.05
"Glatiramer Acetate",0.0996570379717114,0.06
"Glatiramer Acetate",0.111715717753079,0.07
"Glatiramer Acetate",0.123303507911425,0.08
"Glatiramer Acetate",0.134493578397529,0.09
"Glatiramer Acetate",0.14534161656354,0.1
"Glatiramer Acetate",0.155891364728482,0.11
"Glatiramer Acetate",0.166178056346644,0.12
"Glatiramer Acetate",0.176230658531434,0.13
"Glatiramer Acetate",0.186073396284208,0.14
"Glatiramer Acetate",0.195726823782369,0.15
"Glatiramer Acetate",0.205208598776493,0.16
"Glatiramer Acetate",0.214534055930787,0.17
"Glatiramer Acetate",0.223716640158791,0.18
"Glatiramer Acetate",0.232768240090239,0.19
"Glatiramer Acetate",0.241699448784371,0.2
"Glatiramer Acetate",0.250519770451711,0.21
"Glatiramer Acetate",0.259237786443663,0.22
"Glatiramer Acetate",0.267861290058494,0.23
"Glatiramer Acetate",0.276397397157112,0.24
"Glatiramer Acetate",0.284852637789147,0.25
"Glatiramer Acetate",0.29323303275047,0.26
"Glatiramer Acetate",0.301544158066075,0.27
"Glatiramer Acetate",0.309791199710926,0.28
"Glatiramer Acetate",0.3179790003741,0.29
"Glatiramer Acetate",0.326112099689647,0.3
"Glatiramer Acetate",0.334194769066651,0.31
"Glatiramer Acetate",0.342231042027391,0.32
"Glatiramer Acetate",0.350224740788911,0.33
"Glatiramer Acetate",0.358179499687426,0.34
"Glatiramer Acetate",0.366098785937866,0.35
"Glatiramer Acetate",0.373985918135685,0.36
"Glatiramer Acetate",0.381844082839967,0.37
"Glatiramer Acetate",0.389676349522094,0.38
"Glatiramer Acetate",0.397485684119908,0.39
"Glatiramer Acetate",0.405274961401335,0.4
"Glatiramer Acetate",0.413046976312049,0.41
"Glatiramer Acetate",0.420804454457793,0.42
"Glatiramer Acetate",0.428550061852284,0.43
"Glatiramer Acetate",0.43628641404555,0.44
"Glatiramer Acetate",0.444016084734389,0.45
"Glatiramer Acetate",0.45174161394593,0.46
"Glatiramer Acetate",0.459465515876672,0.47
"Glatiramer Acetate",0.467190286462491,0.48
"Glatiramer Acetate",0.474918410749864,0.49
"Glatiramer Acetate",0.482652370134565,0.5
"Glatiramer Acetate",0.490394649531458,0.51
"Glatiramer Acetate",0.49814774453747,0.52
"Glatiramer Acetate",0.505914168649391,0.53
"Glatiramer Acetate",0.513696460598855,0.54
"Glatiramer Acetate",0.521497191868595,0.55
"Glatiramer Acetate",0.529318974457025,0.56
"Glatiramer Acetate",0.537164468962333,0.57
"Glatiramer Acetate",0.545036393062831,0.58
"Glatiramer Acetate",0.552937530477319,0.59
"Glatiramer Acetate",0.560870740498056,0.6
"Glatiramer Acetate",0.568838968199744,0.61
"Glatiramer Acetate",0.57684525544116,0.62
"Glatiramer Acetate",0.584892752792155,0.63
"Glatiramer Acetate",0.592984732538261,0.64
"Glatiramer Acetate",0.60112460293881,0.65
"Glatiramer Acetate",0.609315923943286,0.66
"Glatiramer Acetate",0.617562424605697,0.67
"Glatiramer Acetate",0.625868022479667,0.68
"Glatiramer Acetate",0.634236845329668,0.69
"Glatiramer Acetate",0.642673255558841,0.7
"Glatiramer Acetate",0.651181877834638,0.71
"Glatiramer Acetate",0.659767630494333,0.72
"Glatiramer Acetate",0.668435761439278,0.73
"Glatiramer Acetate",0.677191889387339,0.74
"Glatiramer Acetate",0.686042051557957,0.75
"Glatiramer Acetate",0.694992759128233,0.76
"Glatiramer Acetate",0.704051062141341,0.77
"Glatiramer Acetate",0.713224625998784,0.78
"Glatiramer Acetate",0.722521822265126,0.79
"Glatiramer Acetate",0.731951837315637,0.8
"Glatiramer Acetate",0.74152480344736,0.81
"Glatiramer Acetate",0.751251958577323,0.82
"Glatiramer Acetate",0.761145842756473,0.83
"Glatiramer Acetate",0.77122054272553,0.84
"Glatiramer Acetate",0.781492000088814,0.85
"Glatiramer Acetate",0.791978405127484,0.86
"Glatiramer Acetate",0.80270070805002,0.87
"Glatiramer Acetate",0.813683294704123,0.88
"Glatiramer Acetate",0.824954898212677,0.89
"Glatiramer Acetate",0.836549858601041,0.9
"Glatiramer Acetate",0.848509912714713,0.91
"Glatiramer Acetate",0.860886824094466,0.92
"Glatiramer Acetate",0.873746406939468,0.93
"Glatiramer Acetate",0.88717500116235,0.94
"Glatiramer Acetate",0.901290583881627,0.95
"Glatiramer Acetate",0.916263536933613,0.96
"Glatiramer Acetate",0.932360395677412,0.97
"Glatiramer Acetate",0.950054481003854,0.98
"Glatiramer Acetate",0.970414382312811,0.99
"Natalizumab",0.0179486564771727,0.01
"Natalizumab",0.0291618229158447,0.02
"Natalizumab",0.0387306673132006,0.03
"Natalizumab",0.0473772718111434,0.04
"Natalizumab",0.0554071797404954,0.05
"Natalizumab",0.0629867730049288,0.06
"Natalizumab",0.0702195839345773,0.07
"Natalizumab",0.0771757105508011,0.08
"Natalizumab",0.0839054878729935,0.09
"Natalizumab",0.0904466696720185,0.1
"Natalizumab",0.096828545619093,0.11
"Natalizumab",0.103074462224377,0.12
"Natalizumab",0.10920344812899,0.13
"Natalizumab",0.115231306465357,0.14
"Natalizumab",0.121171374664135,0.15
"Natalizumab",0.127035068411403,0.16
"Natalizumab",0.13283228078098,0.17
"Natalizumab",0.138571681404947,0.18
"Natalizumab",0.144260944939011,0.19
"Natalizumab",0.149906928437736,0.2
"Natalizumab",0.155515811113726,0.21
"Natalizumab",0.16109320593752,0.22
"Natalizumab",0.166644249843761,0.23
"Natalizumab",0.172173677467926,0.24
"Natalizumab",0.17768588205396,0.25
"Natalizumab",0.183184966262417,0.26
"Natalizumab",0.188674784952607,0.27
"Natalizumab",0.19415898153289,0.28
"Natalizumab",0.199641019118463,0.29
"Natalizumab",0.205124207470355,0.3
"Natalizumab",0.210611726488311,0.31
"Natalizumab",0.216106646876579,0.32
"Natalizumab",0.221611948483181,0.33
"Natalizumab",0.227130536721209,0.34
"Natalizumab",0.232665257408689,0.35
"Natalizumab",0.238218910306882,0.36
"Natalizumab",0.243794261592092,0.37
"Natalizumab",0.249394055460547,0.38
"Natalizumab",0.255021025037655,0.39
