"Treatment","Predicted probability to relapse within the next 2 years %","Baseline risk score"
"Dimethyl Fumarate",8.9176781239407e-14,0.01
"Dimethyl Fumarate",5.26561595407987e-12,0.02
"Dimethyl Fumarate",5.86687840683108e-11,0.03
"Dimethyl Fumarate",3.30374535315657e-10,0.04
"Dimethyl Fumarate",1.28039743585705e-09,0.05
"Dimethyl Fumarate",3.91882189401298e-09,0.06
"Dimethyl Fumarate",1.0193080135552e-08,0.07
"Dimethyl Fumarate",2.35406637015954e-08,0.08
"Dimethyl Fumarate",4.96556517767745e-08,0.09
"Dimethyl Fumarate",9.75299017028118e-08,0.1
"Dimethyl Fumarate",1.80845175665989e-07,0.11
"Dimethyl Fumarate",3.19811597650632e-07,0.12
"Dimethyl Fumarate",5.4357153774602e-07,0.13
"Dimethyl Fumarate",8.93317410374056e-07,0.14
"Dimethyl Fumarate",1.42630831931827e-06,0.15
"Dimethyl Fumarate",2.22101569015155e-06,0.16
"Dimethyl Fumarate",3.38368412284528e-06,0.17
"Dimethyl Fumarate",5.05666332123017e-06,0.18
"Dimethyl Fumarate",7.4289534157129e-06,0.19
"Dimethyl Fumarate",1.07495134191187e-05,0.2
"Dimethyl Fumarate",1.53440161040812e-05,0.21
"Dimethyl Fumarate",2.16358987223485e-05,0.22
"Dimethyl Fumarate",3.01727657877259e-05,0.23
"Dimethyl Fumarate",4.16594577432107e-05,0.24
"Dimethyl Fumarate",5.69994204172277e-05,0.25
"Dimethyl Fumarate",7.73464106363474e-05,0.26
"Dimethyl Fumarate",0.000104169073097843,0.27
"Dimethyl Fumarate",0.000139331547493886,0.28
"Dimethyl Fumarate",0.000185194043974998,0.29
"Dimethyl Fumarate",0.000244738298002695,0.3
"Dimethyl Fumarate",0.000321724030406174,0.31
"Dimethyl Fumarate",0.000420884054135495,0.32
"Dimethyl Fumarate",0.000548167558114316,0.33
"Dimethyl Fumarate",0.000711043448255674,0.34
"Dimethyl Fumarate",0.000918878540375556,0.35
"Dimethyl Fumarate",0.00118340900082733,0.36
"Dimethyl Fumarate",0.00151932785473197,0.37
"Dimethyl Fumarate",0.00194501677382696,0.38
"Dimethyl Fumarate",0.00248345685523536,0.39
"Dimethyl Fumarate",0.00316336081314733,0.4
"Dimethyl Fumarate",0.00402057794505162,0.41
"Dimethyl Fumarate",0.00509983324356112,0.42
"Dimethyl Fumarate",0.00645687261761323,0.43
"Dimethyl Fumarate",0.00816109630478327,0.44
"Dimethyl Fumarate",0.0102987701838193,0.45
"Dimethyl Fumarate",0.0129769062685105,0.46
"Dimethyl Fumarate",0.0163278931943271,0.47
"Dimethyl Fumarate",0.0205149253658551,0.48
"Dimethyl Fumarate",0.0257382107474202,0.49
"Dimethyl Fumarate",0.0322418101447272,0.5
"Dimethyl Fumarate",0.0403207448389425,0.51
"Dimethyl Fumarate",0.0503276659515318,0.52
"Dimethyl Fumarate",0.0626778658372867,0.53
"Dimethyl Fumarate",0.0778506979144056,0.54
"Dimethyl Fumarate",0.0963845677912912,0.55
"Dimethyl Fumarate",0.11886167581919,0.56
"Dimethyl Fumarate",0.14587792390818,0.57
"Dimethyl Fumarate",0.177993418756765,0.58
"Dimethyl Fumarate",0.215660687259453,0.59
"Dimethyl Fumarate",0.259132076839688,0.6
"Dimethyl Fumarate",0.308355420470486,0.61
"Dimethyl Fumarate",0.362877042161124,0.62
"Dimethyl Fumarate",0.421780230989856,0.63
"Dimethyl Fumarate",0.483689671919424,0.64
"Dimethyl Fumarate",0.546862286806497,0.65
"Dimethyl Fumarate",0.609361556372907,0.66
"Dimethyl Fumarate",0.669283197250564,0.67
"Dimethyl Fumarate",0.724979116532846,0.68
"Dimethyl Fumarate",0.775225847587868,0.69
"Dimethyl Fumarate",0.819304118869473,0.7
"Dimethyl Fumarate",0.856986704696312,0.71
"Dimethyl Fumarate",0.888457240426306,0.72
"Dimethyl Fumarate",0.914194066866627,0.73
"Dimethyl Fumarate",0.934850540311182,0.74
"Dimethyl Fumarate",0.951152726254143,0.75
"Dimethyl Fumarate",0.963823696929483,0.76
"Dimethyl Fumarate",0.973534835371574,0.77
"Dimethyl Fumarate",0.980879688825744,0.78
"Dimethyl Fumarate",0.986364284669908,0.79
"Dimethyl Fumarate",0.990408146071199,0.8
"Dimethyl Fumarate",0.993351423687374,0.81
"Dimethyl Fumarate",0.995464897957556,0.82
"Dimethyl Fumarate",0.996960765374698,0.83
"Dimethyl Fumarate",0.998002994258717,0.84
"Dimethyl Fumarate",0.998716632032554,0.85
"Dimethyl Fumarate",0.999195822951386,0.86
"Dimethyl Fumarate",0.999510515222961,0.87
